Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
1300
",dia,0,"
250
","
4
","
5
","
2
",florianopolis,"Rua Mário Moura, Cachoeira do Bom Jesus"
"
6000
",dia,0,"
185
","
5
","
1
","
4
",florianopolis,"Avenida dos Salmões, Jurerê Internacional"
"
1100
",dia,0,"
120
","
3
","
3
","
2
",florianopolis,"Rua das Tibiras, Jurerê Internacional"
"
7000
",dia,0,"
300
","
4
","
1
","
3
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
450
",dia,0,"
90
","
2
","
3
",0,florianopolis,"Rodovia Jornalista Manoel de Menezes, Praia Mole"
"
5600
",mês, 101,"
450
","
5
","
4
","
5
",florianopolis,"Servidão Luiz Zilli, José Mendes"
"
1500
",mês,0,"
79
","
2
","
1
","
2
",florianopolis,"Servidão Luiz Roque da Cunha, Ingleses do Rio Vermelho"
"
7500
",mês, 110,"
309
","
4
","
4
","
2
",florianopolis,"Rua Professor Clóvis Menel Calliari, Joao Paulo"
"
1800
",dia,0,"
285
","
4
","
1
","
3
",florianopolis,"Rua dos Surubins, Jurerê Internacional"
"
750
",dia,0,"
110
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses Norte"
"
2500
",dia,0,"
480
","
10
","
9
","
4
",florianopolis,"Avenida das Lagostas, Jurerê Internacional"
"
1000
",dia,0,"
150
","
4
","
3
","
2
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
1700
",dia,0,"
245
","
4
","
1
","
4
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
2000
",dia,0,"
400
","
6
","
7
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
650
",dia,0,"
180
","
3
","
2
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
1700
",mês, 76,"
192
","
3
","
3
","
2
",florianopolis,"Rua do Sol Nascente, Tapera"
"
1500
",mês,0,"
60
","
1
","
1
","
1
",florianopolis,"Lagoa da Conceição, Florianópolis"
"
610
",dia,0,"
150
","
2
","
1
","
2
",florianopolis,"Rua Doutor Antônio Prudente de Moraes, Canasvieiras"
"
2200
",mês, 106,"
86
","
2
","
2
","
1
",florianopolis,"Servidão Francisco Monn, Centro"
"
1000
",dia,0,"
200
","
4
","
5
","
1
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
2800
",mês,0,"
58
","
1
","
1
","
1
",florianopolis,"Rio Tavares, Florianópolis"
"
2600
",mês,0,"
90
","
2
","
1
","
2
",florianopolis,"Rua João Pacheco da Costa, Lagoa da Conceição"
"
1300
",mês, 75,"
70
","
1
","
1
","
1
",florianopolis,"Sambaqui, Florianópolis"
"
3450
",mês, 47,"
96
","
4
","
3
","
4
",florianopolis,"Servidão Corintians, Pantanal"
"
2600
",mês, 190,"
130
","
3
","
1
","
3
",florianopolis,"Servidão Maria do Nascimento Costa, Vargem do Bom Jesus"
"
450
",dia,0,"
200
","
4
","
2
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
3500
",mês, 76,"
248
","
3
","
2
","
1
",florianopolis,"Rua Antônio Mattos Areas, Balneário"
"
2300
",mês, 8,"
360
","
3
","
2
","
2
",florianopolis,"Rua Celso Martins da Silveira, Carianos"
"
1700
",mês, 43,"
60
","
2
","
1
","
1
",florianopolis,"Campeche, Florianópolis"
"
1000
",dia,0,"
120
","
3
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
1700
",dia,0,"
280
","
5
","
3
","
2
",florianopolis,"Rua dos Tandujus, Jurerê Internacional"
"
1600
",mês, 35,"
50
","
2
","
1
","
2
",florianopolis,"Rua Prefeito Tolentino de Carvalho, Balneário"
"
600
",mês,0,"
65
","
2
","
1
",0,florianopolis,"Centro, Florianópolis"
"
3000
",mês,0,"
95
","
2
","
3
","
2
",florianopolis,"Campeche, Florianópolis"
"
4000
",mês, 299,"
265
","
4
","
5
","
2
",florianopolis,"Rua São Cristóvão, Coqueiros"
"
1800
",mês, 30,"
80
","
2
","
2
","
1
",florianopolis,"Rua Tereza Lopes, Campeche"
"
930
",dia,0,"
200
","
4
","
3
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
2900
",mês, 10,"
133
","
2
","
2
","
2
",florianopolis,"Rua Valdemiro José Vieira, Campeche"
"
1050
",mês, 24,"
60
","
2
","
2
","
1
",florianopolis,"Servidão José Nunes de Souza, Estreito"
"
900
",dia,0,"
180
","
3
","
2
","
3
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
5000
",dia,0,"
450
","
3
","
3
","
3
",florianopolis,"Jurerê, Florianópolis"
"
1700
",mês, 76,"
192
","
3
","
3
","
2
",florianopolis,"Rua do Sol Nascente, Tapera"
"
3200
",mês, 78,"
116
","
3
","
2
","
2
",florianopolis,"Servidão Maria Cordeiro de Souza, Lagoa da Conceição"
"
1450
",mês, 20,"
60
","
1
","
1
",0,florianopolis,"Rua Manoel Tibúrcio Duarte, São João do Rio Vermelho"
"
2800
",mês, 103,"
190
","
2
","
4
","
2
",florianopolis,"Rua das Dunas, Ingleses do Rio Vermelho"
"
480
",dia,0,"
100
","
2
","
4
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
550
",dia,0,"
190
","
5
","
4
","
1
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
1550
",mês, 120,"
72
","
2
","
1
",0,florianopolis,"Rodovia João Paulo, Joao Paulo"
"
1100
",dia,0,"
200
","
3
","
4
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
730
",dia,0,"
100
","
2
","
1
","
1
",florianopolis,"Travessa Sanderson Bitencourt, Jurerê"
"
1500
",mês,0,"
110
","
2
","
1
","
1
",florianopolis,"Rua General Nestor Passos, Centro"
"
2000
",dia,0,"
382
","
4
","
1
","
1
",florianopolis,"Rua dos Amborés, Jurerê Internacional"
"
1000
",dia,0,"
200
","
4
","
3
","
2
",florianopolis,"Jurerê, Florianópolis"
"
1200
",mês, 46,"
60
","
2
","
1
","
1
",florianopolis,"Rua Padre Luiz Zuber, Capoeiras"
"
3800
",mês, 104,"
183
","
5
","
2
","
1
",florianopolis,"Rua Castro Alves, Balneário"
"
1200
",mês,0,"
60
","
2
","
1
","
1
",florianopolis,"Rodovia Armando Calil Bulos, Ingleses do Rio Vermelho"
"
550
",dia,0,"
90
","
2
","
2
","
2
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
660
",dia,0,"
120
","
3
","
2
","
3
",florianopolis,"Rua Jorge Mussi, Canasvieiras"
"
720
",dia,0,"
100
","
2
","
1
","
1
",florianopolis,"Rua Doutor João de Oliveira, Canasvieiras"
"
3500
",mês, 54,"
116
","
3
","
2
","
2
",florianopolis,"Rua da Cássia Aleluia, Cachoeira do Bom Jesus"
"
2900
",mês, 51,"
145
","
3
","
2
","
2
",florianopolis,"Servidão Manoel Isidoro Augusto, Rio Tavares"
"
2300
",mês, 36,"
70
","
2
","
1
","
1
",florianopolis,"Servidão Dona Vitorina Lopes, Campeche"
"
1000
",dia,0,"
200
","
6
","
5
","
4
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
1600
",mês, 35,"
50
","
2
","
1
","
2
",florianopolis,"Rua Prefeito Tolentino de Carvalho, Balneário"
"
2900
",mês, 51,"
145
","
3
","
2
","
2
",florianopolis,"Servidão Manoel Isidoro Augusto, Rio Tavares"
"
3450
",mês, 47,"
96
","
4
","
3
","
4
",florianopolis,"Servidão Corintians, Pantanal"
"
1900
",mês, 65,"
52
","
2
","
1
","
1
",florianopolis,"Campeche, Florianópolis"
"
1800
",mês, 30,"
80
","
2
","
2
","
1
",florianopolis,"Rua Tereza Lopes, Campeche"
"
3100
",mês, 124,"
110
","
2
","
2
","
1
",florianopolis,"Rua Acadêmico Reinaldo Consoni, Córrego Grande"
"
3500
",mês,0,"
130
","
3
","
2
",0,florianopolis,"Campeche, Florianópolis"
"
1600
",mês, 30,"
80
","
2
","
1
","
1
",florianopolis,"São João do Rio Vermelho, Florianópolis"
"
2030
",mês, 58,"
100
","
2
","
1
","
3
",florianopolis,"Joao Paulo, Florianópolis"
"
4500
",mês, 100,"
200
","
4
","
2
","
2
",florianopolis,"Santa Mônica, Florianópolis"
"
1800
",mês, 40,"
120
","
2
","
2
","
5
",florianopolis,"Servidão Serafim Policiano de Menezes, São João do Rio Vermelho"
"
3500
",mês, 54,"
116
","
3
","
2
","
2
",florianopolis,"Rua da Cássia Aleluia, Cachoeira do Bom Jesus"
"
1200
",mês, 115,"
103
","
3
","
2
","
1
",florianopolis,"Rua Dário Manoel Cardoso, Ingleses do Rio Vermelho"
"
5830
",mês, 100,"
350
","
3
","
4
","
2
",florianopolis,"Servidão da Graça, Santinho"
"
4000
",mês, 73,"
270
","
3
","
3
","
1
",florianopolis,"Rua José de Alencar, Capoeiras"
"
3000
",mês, 66,"
180
","
4
","
2
","
2
",florianopolis,"Servidão Manoel João da Silva, Ingleses do Rio Vermelho"
"
1700
",dia,0,"
127
","
4
","
4
","
2
",florianopolis,"Rua Professor Manoel do Lago Almeida, Jurerê"
"
400
",dia,0,"
95
","
2
","
2
","
1
",florianopolis,"Rua Iolita Siqueira, Ponta das Canas"
"
2000
",dia,0,"
280
","
4
","
5
","
2
",florianopolis,"Rua das Sapopemas, Jurerê"
"
3000
",mês, 80,"
140
","
5
","
2
","
2
",florianopolis,"Servidão Joao Manoel da Silva, Ingleses do Rio Vermelho"
"
4600
",mês, 77,"
200
","
4
","
3
","
3
",florianopolis,"Rodovia Jornalista Manoel de Menezes, Barra da Lagoa"
"
1650
",dia,0,"
180
","
5
","
4
","
2
",florianopolis,"Rua Jardim Giselle, Cachoeira do Bom Jesus"
"
4600
",mês, 77,"
200
","
4
","
3
","
3
",florianopolis,"Rodovia Jornalista Manoel de Menezes, Barra da Lagoa"
"
1800
",mês, 40,"
120
","
2
","
2
","
5
",florianopolis,"Servidão Serafim Policiano de Menezes, São João do Rio Vermelho"
"
2990
",mês, 40,"
110
","
3
","
2
","
3
",florianopolis,"Servidão Nelson Conrado da Silva, Campeche"
"
8000
",dia,0,"
380
","
4
","
1
","
5
",florianopolis,"Rua dos Peixes-Serra, Jurerê Internacional"
"
1100
",mês,0,"
35
","
2
","
1
","
1
",florianopolis,"Servidão Olaria do Sul, Pântano do Sul"
"
350
",dia,0,"
190
","
3
","
3
","
2
",florianopolis,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus"
"
2300
",mês, 180,"
73
","
2
","
2
","
1
",florianopolis,"Estrada Francisco Thomas dos Santos, Pântano do Sul"
"
1760
",dia,0,"
250
","
4
","
1
","
1
",florianopolis,"Avenida Jacarandá, Daniela"
"
6000
",dia,0,"
230
","
4
","
1
","
2
",florianopolis,"Rua dos Pargos, Jurerê Internacional"
"
2200
",mês,0,"
80
","
2
","
2
","
1
",florianopolis,"Campeche, Florianópolis"
"
850
",dia,0,"
150
","
3
","
3
","
2
",florianopolis,"Rua das Sereias, Canasvieiras"
"
750
",dia,0,"
150
","
5
","
4
","
2
",florianopolis,"Rua Berta Lutz, Cachoeira do Bom Jesus"
"
6800
",mês, 294,"
474
","
4
","
4
","
2
",florianopolis,"Rua Vereador Frederico Veras, Pantanal"
"
4500
",mês,0,"
154
","
3
","
4
","
3
",florianopolis,"Rua João Henrique Gonçalves, Lagoa da Conceição"
"
4350
",mês, 65,"
228
","
4
","
3
","
5
",florianopolis,"Campeche, Florianópolis"
"
890
",mês, 61,"
60
","
1
","
1
","
1
",florianopolis,"Rua José Luiz Vieira, Jardim Atlântico"
"
1000
",dia,0,"
90
","
4
","
2
","
2
",florianopolis,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus"
"
1500
",dia,0,"
320
","
4
","
2
","
2
",florianopolis,"Rua dos Pargos, Jurerê Internacional"
"
1700
",mês, 23,"
76
","
2
","
1
","
1
",florianopolis,"Rua Sinfrônio de Souza, Pântano do Sul"
"
6000
",mês,0,"
249
","
4
","
5
","
2
",florianopolis,"Rua Begônia, Itacorubi"
"
1700
",mês,0,"
50
","
2
","
2
","
1
",florianopolis,"Rua Iguaçu, Saco dos Limões"
"
1700
",mês, 23,"
76
","
2
","
1
","
1
",florianopolis,"Rua Sinfrônio de Souza, Pântano do Sul"
"
4500
",mês,0,"
277
","
4
","
4
","
4
",florianopolis,"Rua Doutor João Carlos Barom Maurer, Santa Mônica"
"
1200
",dia,0,"
380
","
4
","
1
",0,florianopolis,"Rua dos Marimbaus, Jurerê Internacional"
"
1900
",mês,0,"
65
","
2
","
1
","
3
",florianopolis,"Servidão Maura de Abreu Nunes, São João do Rio Vermelho"
"
800
",dia,0,"
200
","
3
","
3
","
4
",florianopolis,"Estrada Dom João Becker, Ingleses do Rio Vermelho"
"
4500
",mês, 107,"
210
","
2
","
4
","
1
",florianopolis,"Rua Aldo Alves, Saco dos Limões"
"
2990
",mês,0,"
130
","
3
","
2
","
3
",florianopolis,"Campeche, Florianópolis"
"
1700
",mês, 7,"
69
","
2
","
1
","
1
",florianopolis,"Servidão Coral, Campeche"
"
1500
",mês,0,"
60
","
2
","
1
","
1
",florianopolis,"Servidão Manoel Inácio do Nascimento, Rio Tavares"
"
2500
",dia,0,"
350
","
4
","
6
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
1500
",mês,0,"
50
","
2
","
1
","
1
",florianopolis,"Coqueiros, Florianópolis"
"
2000
",mês,0,"
75
","
2
","
2
","
1
",florianopolis,"Campeche, Florianópolis"
"
430
",dia,0,"
56
","
2
","
2
","
1
",florianopolis,"Rua Iolita Siqueira, Ponta das Canas"
"
610
",dia,0,"
150
","
4
","
3
","
2
",florianopolis,"Rua João Luiz da Silva Brito, Canasvieiras"
"
1350
",mês, 380,"
62
","
2
","
1
",0,florianopolis,"Rodovia Baldicero Filomeno, Ribeirão da Ilha"
"
5000
",mês, 450,"
169
","
3
","
2
","
2
",florianopolis,"Campeche, Florianópolis"
"
4500
",mês, 107,"
210
","
2
","
4
","
1
",florianopolis,"Rua Aldo Alves, Saco dos Limões"
"
3500
",mês, 177,"
200
","
3
","
3
","
4
",florianopolis,"Rua Doutor Percy João de Borba, Trindade"
"
1200
",mês, 80,"
60
","
2
","
1
","
2
",florianopolis,"Barra da Lagoa, Florianópolis"
"
1200
",mês, 80,"
60
","
2
","
1
","
2
",florianopolis,"Barra da Lagoa, Florianópolis"
"
1000
",dia,0,"
200
","
5
","
5
","
2
",florianopolis,"Rua Tadeu Szpoganicz, Cachoeira do Bom Jesus"
"
750
",dia,0,"
120
","
2
","
2
","
1
",florianopolis,"Rua Madre Maria Vilac, Canasvieiras"
"
3100
",mês, 852,"
198
","
3
","
3
","
3
",florianopolis,"Rua Laurindo Januário da Silveira, Lagoa da Conceição"
"
1900
",mês, 25,"
90
","
2
","
2
","
1
",florianopolis,"Servidão Valdevino Marques da Natividade, Ingleses do Rio Vermelho"
"
1700
",mês, 43,"
65
","
2
","
1
","
1
",florianopolis,"Servidão Coral, Campeche"
"
1800
",dia,0,"
200
","
4
","
3
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
680
",dia,0,"
70
","
2
","
2
","
1
",florianopolis,"Rua Madre Maria Vilac, Canasvieiras"
"
4430
",mês, 500,"
650
","
6
","
8
","
5
",florianopolis,"Cacupé, Florianópolis"
"
2300
",mês, 59,"
95
","
2
","
2
","
2
",florianopolis,"Rua das Garças, Campeche"
"
500
",dia,0,"
70
","
2
","
2
",0,florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
3600
",mês, 400,"
178
","
3
","
3
","
2
",florianopolis,"Rua Laurindo Januário da Silveira, Lagoa da Conceição"
"
900
",dia,0,"
123
","
3
","
1
","
1
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
1150
",dia,0,"
300
","
5
","
5
","
5
",florianopolis,"Servidão Anhatomirim, Ponta das Canas"
"
3000
",dia,0,"
135
","
4
","
3
","
2
",florianopolis,"Rua das Piraúnas, Jurerê Internacional"
"
460
",dia,0,"
110
","
2
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
1700
",mês,0,"
55
","
1
","
1
","
4
",florianopolis,"São João do Rio Vermelho, Florianópolis"
"
1400
",mês, 34,"
63
","
2
","
1
",0,florianopolis,"Rua Henrique Boiteux, Estreito"
"
1200
",dia,0,"
360
","
4
","
4
","
3
",florianopolis,"Avenida dos Pinheirais, Daniela"
"
370
",dia,0,"
87
","
3
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
2300
",mês, 50,"
84
","
2
","
2
",0,florianopolis,"Rua das Garças, Campeche"
"
4700
",mês, 155,"
200
","
2
","
3
",0,florianopolis,"Rua Liberato Carioni, Lagoa da Conceição"
"
2300
",mês, 59,"
95
","
2
","
1
","
2
",florianopolis,"Rua das Garças, Campeche"
"
2300
",mês, 59,"
95
","
2
","
1
","
2
",florianopolis,"Rua das Garças, Campeche"
"
1800
",mês, 113,"
90
","
2
","
2
",0,florianopolis,"Rua Lauro Linhares, Trindade"
"
12600
",dia,0,"
288
","
4
","
7
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
380
",dia,0,"
76
","
2
","
2
","
1
",florianopolis,"Avenida Tom Traugott Wildi, Praia Brava"
"
6000
",mês, 200,"
350
","
3
","
4
","
3
",florianopolis,"Rua Osvaldo Calixto de Lima, Joao Paulo"
"
550
",dia,0,"
100
","
3
","
2
","
2
",florianopolis,"Servidão Farroupilha, Cachoeira do Bom Jesus"
"
1200
",dia,0,"
250
","
3
","
3
","
2
",florianopolis,"Rua Clorinda Ventimiglia, Cachoeira do Bom Jesus"
"
3900
",mês, 137,"
145
","
3
","
2
","
2
",florianopolis,"Rua Santa Luzia, Trindade"
"
620
",dia,0,"
115
","
2
","
1
","
2
",florianopolis,"Rodovia Tertuliano Brito Xavier, Canasvieiras"
"
750
",dia, 250,"
194
","
4
","
3
","
3
",florianopolis,"Avenida Luiz Boiteux Piazza, Cachoeira do Bom Jesus"
"
3300
",mês, 100,"
112
","
2
","
3
",0,florianopolis,"Rua Professor Bento Águido Vieira, Trindade"
"
650
",dia,0,"
150
","
3
","
3
","
4
",florianopolis,"Rua Desembargador Rid Silva, Canasvieiras"
"
2650
",mês,0,"
80
","
1
","
2
",0,florianopolis,"Rua Padre Lourenço Rodrigues de Andrade, Santo Antônio de Lisboa"
"
3000
",mês, 66,"
180
","
4
","
2
","
2
",florianopolis,"Servidão Manoel João da Silva, Ingleses do Rio Vermelho"
"
720
",dia,0,"
110
","
3
","
3
","
2
",florianopolis,"Rua Cônego Walmor Castro, Ponta das Canas"
"
5200
",mês, 800,"
328
","
4
","
3
","
4
",florianopolis,"Rio Tavares, Florianópolis"
"
14500
",dia,0,"
420
","
4
","
2
","
2
",florianopolis,"Rua dos Tambaquis, Jurerê Internacional"
"
450
",dia,0,"
80
","
4
","
3
","
2
",florianopolis,"Rua Francisco Gouveia, Jurerê"
"
1700
",mês,0,"
70
","
2
","
2
",0,florianopolis,"Rua Iguaçu, Saco dos Limões"
"
1200
",mês, 45,"
50
","
1
","
1
",0,florianopolis,"Centro, Florianópolis"
"
5000
",mês, 109,"
300
","
4
","
6
","
8
",florianopolis,"Vargem Grande, Florianópolis"
"
430
",dia,0,"
110
","
3
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
450
",dia,0,"
92
","
3
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
1430
",mês, 70,"
60
","
2
","
1
","
1
",florianopolis,"Trindade, Florianópolis"
"
720
",dia,0,"
210
","
2
","
3
","
3
",florianopolis,"Canasvieiras, Florianópolis"
"
1900
",mês, 112,"
75
","
3
","
1
","
1
",florianopolis,"Rua Sílvio Possobon, Abraão"
"
1700
",mês,0,"
60
","
2
","
1
","
1
",florianopolis,"Servidão João Gonçalves Pereira, Rio Tavares"
"
1350
",dia,0,"
110
","
4
","
3
","
2
",florianopolis,"Rua Cônego Walmor Castro, Ponta das Canas"
"
2300
",mês, 36,"
70
","
2
","
1
","
1
",florianopolis,"Servidão Dona Vitorina Lopes, Campeche"
"
2300
",mês, 36,"
70
","
2
","
1
","
1
",florianopolis,"Servidão Dona Vitorina Lopes, Campeche"
"
2300
",mês, 36,"
70
","
2
","
1
","
1
",florianopolis,"Servidão Dona Vitorina Lopes, Campeche"
"
1300
",mês, 70,"
90
","
3
","
2
",0,florianopolis,"Rua Santos Saraiva, Estreito"
"
1800
",dia,0,"
380
","
4
","
1
",0,florianopolis,"Rua das Guaracemas, Jurerê Internacional"
"
480
",dia,0,"
80
","
3
","
2
",0,florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
950
",dia,0,"
150
","
3
","
2
","
3
",florianopolis,"Rua das Sereias, Canasvieiras"
"
390
",dia,0,"
96
","
3
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
1500
",mês,0,"
80
","
2
","
1
","
1
",florianopolis,"Cachoeira do Bom Jesus, Florianópolis"
"
3000
",mês,0,"
110
","
3
","
2
","
3
",florianopolis,"Servidão Nelson Conrado da Silva, Campeche"
"
950
",mês,0,"
50
","
1
","
1
","
1
",florianopolis,"Servidão Carminati, Saco dos Limões"
"
2300
",mês, 59,"
95
","
2
","
2
","
2
",florianopolis,"Rua das Garças, Campeche"
"
1100
",dia,0,"
250
","
4
","
4
","
3
",florianopolis,"Rua dos Canudos, Ingleses do Rio Vermelho"
"
4300
",mês, 73,"
120
","
4
","
2
","
5
",florianopolis,"Servidão Iriar, Campeche"
"
1450
",dia,0,"
170
","
4
","
4
","
4
",florianopolis,"Rua Doutor João de Oliveira, Canasvieiras"
"
900
",dia,0,"
240
","
4
","
1
","
1
",florianopolis,"Canasvieiras, Florianópolis"
"
1650
",mês, 55,"
60
","
2
","
1
","
1
",florianopolis,"Servidão Carminati, Saco dos Limões"
"
500
",dia,0,"
48
","
2
","
1
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
570
",dia,0,"
120
","
2
","
1
","
1
",florianopolis,"Rua Antenor Borges, Canasvieiras"
"
5500
",dia,0,"
400
","
7
","
9
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
990
",dia,0,"
150
","
4
","
4
","
4
",florianopolis,"Rua Leonel Pereira, Cachoeira do Bom Jesus"
"
440
",dia,0,"
85
","
3
","
2
","
1
",florianopolis,"Rua Cônego Walmor Castro, Ponta das Canas"
"
2300
",dia,0,"
230
","
3
","
4
","
3
",florianopolis,"Rua dos Botos, Jurerê Internacional"
"
2800
",dia,0,"
360
","
5
","
5
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
3800
",mês, 52,"
252
","
5
","
4
","
6
",florianopolis,"Rua Manoel João Ferreira, Barra da Lagoa"
"
3800
",mês, 52,"
252
","
5
","
4
","
6
",florianopolis,"Rua Manoel João Ferreira, Barra da Lagoa"
"
1300
",dia,0,"
200
","
1
","
4
","
2
",florianopolis,"Rua das Piraúnas, Jurerê Internacional"
"
7500
",mês, 533,"
348
","
4
","
4
","
2
",florianopolis,"Avenida Rio Branco, Centro"
"
2900
",dia,0,"
458
","
2
","
4
","
4
",florianopolis,"Rodovia Gilson da Costa Xavier, Sambaqui"
"
2500
",dia,0,"
343
","
4
","
5
","
2
",florianopolis,"Rua das Guaracemas, Jurerê Internacional"
"
370
",dia,0,"
78
","
3
","
2
","
1
",florianopolis,"Estrada Jornalista Jaime de Arruda Ramos, Ponta das Canas"
"
3000
",mês,0,"
180
","
4
","
2
",0,florianopolis,"Rua Belizário Berto da Silveira, Saco dos Limões"
"
932
",mês,0,"
72
","
2
","
1
","
1
",florianopolis,"Saco Grande, Florianópolis"
"
450
",dia,0,"
130
","
3
","
2
",0,florianopolis,"Servidão Costa do Moçambique, São João do Rio Vermelho"
